,EEG.O1__sum_values,EEG.O1__median,EEG.O1__mean,EEG.O1__length,EEG.O1__standard_deviation,EEG.O1__variance,EEG.O1__root_mean_square,EEG.O1__maximum,EEG.O1__minimum,Etiqueta
1139,32.43661999999998,0.031472,0.07289128089887635,445.0,5.729995006857286,32.83284277860943,5.7304586131862525,26.305999999999997,-24.209,2.0
1140,11.789552400000026,-0.0266493,0.026553045945946006,444.0,4.564870467801481,20.838042387806116,4.564947694339456,14.789000000000001,-12.779000000000002,2.0
1141,-40.68019550000001,0.013722,-0.09100714876957497,447.0,3.4817022909740163,12.122250842973713,3.4828914918643217,10.041,-21.178,2.0
1142,45.42139020000002,0.25423,0.1009364226666667,450.0,4.494267453068409,20.198439939710006,4.495400772025866,14.527000000000001,-15.5,2.0
1143,-9.215649999999979,-0.026617500000000002,-0.020570647321428524,448.0,3.53314426739929,12.483108414256463,3.5332041500297837,9.9142,-10.505,2.0
1144,-81.7445368,-0.276945,-0.1832837147982063,446.0,6.555075534736599,42.96901526610231,6.5576373936207055,27.086,-43.108999999999995,2.0
1145,11.659787200000029,0.0143556,0.025910638222222285,450.0,7.3374176352269425,53.83769755373934,7.337463384229758,33.405,-28.936,2.0
1146,-33.916637999999985,-0.17762,-0.07570678124999997,448.0,5.338559818595501,28.500220936722428,5.339096595253702,18.699,-18.105999999999998,2.0
1147,71.17927240000002,0.229215,0.15817616088888892,450.0,5.147619611445225,26.49798766413549,5.15004925821191,31.725,-20.805999999999997,2.0
1148,45.51572813999999,0.21332,0.10159760745535713,448.0,4.266797453787778,18.205560511649868,4.268006863336857,16.921,-15.638,2.0
1149,-8.889436570000015,-0.16230999999999998,-0.019886882706935158,447.0,4.935795307076777,24.36207531336114,4.935835370174428,14.446,-13.550999999999998,2.0
1150,42.95279919999997,-0.54085,0.096091273378076,447.0,4.703644220553884,22.124268953549954,4.704625647845891,25.476999999999997,-13.045,2.0
1151,60.853173600000005,0.13612,0.13674870471910114,445.0,4.387323727356716,19.248609488627224,4.389454373480783,26.891,-16.695,2.0
1152,-49.92285399999999,0.016958,-0.11168423713646529,447.0,4.835701974554047,23.38401358670591,4.836991519067474,20.798000000000002,-24.741999999999997,2.0
1153,-29.056057399999997,-0.20063999999999999,-0.06514811076233183,446.0,3.8464694817609164,14.795327474118093,3.8470211528472253,11.88,-18.585,2.0
1154,44.50266699999999,0.057231,0.09955853914988812,447.0,4.259916220258023,18.1468862036174,4.2610794531826155,10.965,-13.89,2.0
1155,-35.378968999999984,0.26698500000000003,-0.07932504260089683,446.0,4.461381950076817,19.903928904471215,4.4620871088376175,10.937999999999999,-13.3,2.0
1156,50.8079222,-0.073536,0.11265614678492239,451.0,9.50850057673606,90.41158321778997,9.509167924965801,49.494,-25.693,2.0
1157,-201.7489295000001,-1.8005,-0.45033243191964306,448.0,22.88926012869902,523.9182292392508,22.893689710015934,103.51,-45.994,2.0
1158,6.8286570000000015,-0.0628375,0.015242537946428575,448.0,3.821301737701708,14.602346970562092,3.821332137556894,11.28,-10.744000000000002,2.0
1159,11.17611959999995,-0.0540255,0.025171440540540428,444.0,10.164757241727777,103.3222897832573,10.164788408258984,39.8,-39.183,2.0
1160,61.636517999999995,-0.11679,0.13636397787610618,452.0,3.8962422572097313,15.180703726866783,3.89862781774934,23.945,-8.6223,2.0
1161,15.893434000000013,-0.16734000000000002,0.035555780760626425,447.0,5.389570543641235,29.047470644885276,5.38968782569369,16.264,-11.838,2.0
1162,39.221682599999994,0.024873999999999997,0.08715929466666665,450.0,3.6008318972203077,12.9659903520392,3.6018866021414375,17.053,-14.21,2.0
1163,337.520284,-0.18059,0.7618968036117382,443.0,18.820708588811133,354.21907178494916,18.836123765900005,159.63,-93.895,2.0
1164,69.87354399999998,0.033296,0.1559677321428571,448.0,4.916948603652321,24.17638357095851,4.919421663613345,15.588,-14.161,2.0
1165,57.7861924,0.1538,0.12956545381165918,446.0,6.473488505419193,41.90605342979442,6.47478498767456,25.854,-19.797,2.0
1166,7.357068099999978,-0.23490999999999998,0.01631278957871392,451.0,4.376224688188681,19.15134252151212,4.376255091812629,15.96,-11.648,2.0
1167,-7.3277370999999825,0.078073,-0.016466824943820187,445.0,3.8334991083948355,14.695715414064,3.833534474918379,12.128,-12.089,2.0
1168,-90.91603599999995,-0.0342875,-0.20203563555555545,450.0,6.919351023155866,47.877418581648136,6.922299977585663,19.875,-29.266,2.0
1169,-13.37695680000001,-0.0020498,-0.029926077852349013,447.0,3.9424180842297103,15.54266035086146,3.942531663918133,11.344000000000001,-12.100999999999999,2.0
1170,75.4066555,0.414755,0.16907321860986546,446.0,7.577340097668485,57.416082955734645,7.579226128635149,35.505,-22.753,2.0
1171,-98.03308869999998,-0.0032883499999998888,-0.21785130822222218,450.0,6.565563457993347,43.10662352093756,6.569176715040606,23.18,-47.826,2.0
1172,-45.79250399999996,0.19412000000000001,-0.10153548558758306,451.0,9.504374158355805,90.33312814202164,9.504916496048512,30.421,-25.551,2.0
1173,-92.565232,-0.31566,-0.20615864587973273,449.0,6.008776776168608,36.105398345823204,6.0123123449380245,17.744,-34.111,2.0
1174,-8.861863999999997,-0.13222,-0.01956261368653421,453.0,4.706795047036367,22.15391961480608,4.706835700410662,12.84,-13.594000000000001,2.0
1175,31.017887399999996,-0.054038,0.06892863866666665,450.0,5.001800215598593,25.018005396762124,5.002275137773868,16.643,-17.192999999999998,2.0
1176,-158.50039700000002,0.008828499999999889,-0.3537955290178572,448.0,9.924710407671201,98.49987667613705,9.931014447300441,37.968,-72.095,2.0
1177,-81.28682049999999,0.0013432499999997778,-0.18063737888888887,450.0,5.153646874336793,26.5600761053614,5.15681160873783,22.891,-39.983000000000004,2.0
1178,123.93773807000001,0.000191984999999889,0.2778873050896861,446.0,7.35821594507087,54.1433418942952,7.363461363287322,54.361999999999995,-31.441999999999997,2.0
1179,38.7149342,0.08374299999999998,0.0856525092920354,452.0,4.978764559301597,24.788096536957628,4.979501269133853,15.002,-13.828,2.0
1180,-9.775199899999997,-0.23934,-0.021868456152125272,447.0,4.018062551279475,16.144826665994522,4.018122060785236,10.463,-10.640999999999998,2.0
1181,63.869034000000006,-0.035681,0.1422472917594655,449.0,7.129191259860582,50.825368019672524,7.130610234172488,33.005,-22.221999999999998,2.0
1182,-50.089005400000005,-0.40799,-0.11205594049217003,447.0,4.291657852917098,18.418327126504995,4.2931205038182405,12.112,-15.514000000000001,2.0
1183,146.08822,-0.418615,0.32755206278026905,446.0,8.946836937801368,80.04589119160696,8.952830923536899,46.718,-31.463,2.0
1184,-23.153464000000007,0.096285,-0.051797458612975404,447.0,4.223195344289853,17.83537891603149,4.223512980061771,12.142999999999999,-13.902999999999999,2.0
1185,76.81392199999998,0.29641,0.17261555505617973,445.0,6.15595186243952,37.895743332672595,6.158371494357898,34.324,-23.041,2.0
1186,307.81966499999993,0.656875,0.687097466517857,448.0,30.258763013938193,915.592739133674,30.266563102905643,92.329,-110.85,2.0
1187,-88.76962599999999,-0.114985,-0.19903503587443944,446.0,7.2505666763297105,52.57071712790286,7.253298013552759,36.875,-29.715999999999998,2.0
1188,59.65842789999999,0.13745,0.13346404451901564,447.0,4.43936091356908,19.707925320924893,4.441366678411531,21.485,-11.009,2.0
1189,-31.078748000000004,0.0714195,-0.0699971801801802,444.0,4.7120284028046875,22.203211668838097,4.712548278168752,13.374,-13.325999999999999,2.0
1190,30.961270000000003,-0.0729515,0.06941988789237669,446.0,3.3570094903366003,11.26951271821,3.3577271835342715,10.802999999999999,-9.6995,2.0
1191,-34.1480287,0.029745999999999998,-0.07639380022371364,447.0,4.305080431402076,18.533717520841087,4.305758183357922,10.356,-12.265999999999998,2.0
1192,97.3433862,0.5727899999999999,0.21825871345291478,446.0,6.1407967480815016,37.70938470124835,6.144674244192809,35.509,-27.085,2.0
1193,-67.17371140000002,-0.37258,-0.15027675928411638,447.0,5.0232285815227575,25.232825382227137,5.025475946276937,14.815,-26.339000000000002,2.0
1194,-30.90867830000002,0.0123585,-0.06930196928251126,446.0,4.894946461252491,23.96050085852829,4.8954370204788376,14.547,-14.367,2.0
1195,88.0997083,-0.137675,0.1966511345982143,448.0,5.920171169280695,35.048426673582355,5.923436362646358,42.493,-22.480999999999998,2.0
1196,-120.41831909999999,-0.036694,-0.26700292483370286,451.0,7.448187110406095,55.47549123161949,7.452971339907946,25.965,-46.93,2.0
1197,6.927986000000008,0.076352,0.015395524444444461,450.0,3.7802726746732787,14.290461494881464,3.780304024421102,12.985999999999999,-11.142999999999999,2.0
1198,-63.91388250000003,0.0735555,-0.14266491629464292,448.0,5.306312111071643,28.156948220105598,5.30822960114264,13.692,-19.629,2.0
1199,-19.927543999999976,-1.0516999999999999,-0.043893268722466905,454.0,9.05089501383301,81.91870055142724,9.051001445722257,50.705,-22.631999999999998,2.0
1200,-5.316902999999992,0.12522,-0.011948096629213464,445.0,3.6212079376035335,13.113146927362838,3.6212276487920363,9.6419,-9.8815,2.0
1201,5.609099099999995,-0.056321,0.012548320134228175,447.0,2.7988682250929577,7.8336633414350025,2.798896354239148,7.4527,-9.5116,2.0
1202,-61.979874000000024,-0.386605,-0.13896832735426015,446.0,5.940372491068954,35.28802533264877,5.941997772522001,16.266,-19.279,2.0
1203,-7.807445439999981,0.07944200000000001,-0.017584336576576532,444.0,3.7966812596075847,14.414788587055437,3.796721980333597,8.9665,-11.03,2.0
1204,-44.957669700000054,0.082639,-0.10057644228187931,447.0,10.276589442707513,105.6082905739675,10.277081599107287,51.13399999999999,-29.638,2.0
1205,40.900494000000016,0.35209,0.0908899866666667,450.0,5.130525210951082,26.322288940204643,5.1313302300554495,22.035,-16.264,2.0
1206,-7.872994000000004,-0.37972,-0.01757364732142858,448.0,4.818067303375269,23.213772539853835,4.818099352746269,16.476,-16.988,2.0
1207,-29.967151,0.26639,-0.06644601108647451,451.0,6.057725040412195,36.69603266523693,6.058089446155959,18.515,-25.901,2.0
1208,67.6087035,-0.21527,0.15124989597315439,447.0,6.25874555550632,39.17189592857012,6.260572853948911,32.496,-15.853,2.0
1209,-42.98038900000001,-0.06260399999999999,-0.09572469710467708,449.0,4.592502238719281,21.091076812641614,4.593499758384385,14.382,-24.95,2.0
1210,9.407311999999994,-0.34809,0.02081263716814158,452.0,3.895691682440863,15.176413684638923,3.895747277545711,13.564,-10.395999999999999,2.0
1211,-18.1023056,-0.16732,-0.040588129147982065,446.0,4.195675988396928,17.603696999610545,4.1958723045200355,11.117,-12.276,2.0
1212,-88.34075811999995,-0.24314000000000002,-0.19807344869955146,446.0,6.402651840705149,40.99395059328503,6.405714923750881,24.779,-38.25,2.0
1213,-29.975797999999987,0.009446199999999998,-0.06691026339285712,448.0,3.718545333976034,13.827579400834935,3.7191472657293683,15.360999999999999,-14.630999999999998,2.0
1214,107.97504709999998,-0.19045,0.2404789467706013,449.0,6.724525456853594,45.219242619872034,6.728824023832985,53.044,-25.743000000000002,2.0
1215,-57.3267583,-0.068862,-0.12824778143176735,447.0,4.471668313053977,19.995817501971,4.473507013005922,17.374000000000002,-19.21,2.0
1216,-24.97999997,0.16692,-0.055634743808463255,449.0,5.379687232224986,28.941034716564527,5.379974901547698,14.852,-13.535,2.0
1217,-71.2906937,-0.00087335,-0.1591310127232143,448.0,6.929633054139498,48.01981426502271,6.931459943203381,25.343000000000004,-29.758000000000003,2.0
1218,78.422168,0.38217999999999996,0.17504948214285715,448.0,4.79742831328914,23.01531842114829,4.800620870506936,26.384,-17.925,2.0
1219,35.90648900000001,0.20457999999999998,0.08050782286995517,446.0,4.462029166967407,19.909704286867854,4.462755404053769,19.053,-14.606,2.0
1220,38.18373230000001,0.49237,0.08504172004454345,449.0,5.130665756750602,26.323731107493227,5.131370499354081,16.292,-13.732999999999999,2.0
1221,50.12759200000002,-0.091438,0.11239370403587448,446.0,14.548172111169452,211.64931177620863,14.548606260426308,52.648,-66.065,2.0
1222,12.89347290000001,-0.08222299999999999,0.028780073437500022,448.0,5.8791773666519225,34.56472650855223,5.879247809131649,24.921999999999997,-16.499000000000002,2.0
1223,-50.39933799999999,-0.11225999999999998,-0.1137682573363431,443.0,4.230673438132111,17.89859774011658,4.232202849166605,11.982000000000001,-17.858,2.0
1224,10.801382000000007,0.0393705,0.024437515837104087,442.0,4.971481719555734,24.715630487876837,4.971541780982749,14.658,-16.113,2.0
1225,52.4724992,0.38899,0.11712611428571429,448.0,4.343127965377125,18.862760523640848,4.344707015471644,15.198,-11.363,2.0
